arm,reference,iterations,n,mse,psnr,lpips,ssim,fid
compvis,x1,5,100,0.04501,13.847,0.4602,0.3785,63.552
compvis,x1,15,100,0.06465,12.178,0.5598,0.3619,87.102
compvis,x1,25,100,0.08441,11.006,0.6091,0.3425,112.090
compvis,x0,5,100,0.05156,13.188,0.5000,0.3445,72.292
compvis,x0,15,100,0.06976,11.810,0.5818,0.3362,92.426
compvis,x0,25,100,0.08988,10.707,0.6275,0.3180,115.144
2blk,x1,5,100,0.04343,13.953,0.4359,0.4230,67.220
2blk,x1,15,100,0.06597,12.077,0.5164,0.3839,72.901
2blk,x1,25,100,0.08271,11.117,0.5431,0.3677,81.360
2blk,x0,5,100,0.05112,13.191,0.4956,0.3432,72.498
2blk,x0,15,100,0.07148,11.690,0.5589,0.3204,77.176
2blk,x0,25,100,0.08760,10.819,0.5868,0.3070,85.864
2blk_rt,x1,5,100,0.04322,13.970,0.4425,0.4201,75.815
2blk_rt,x1,15,100,0.06510,12.133,0.5200,0.3833,79.206
2blk_rt,x1,25,100,0.07970,11.248,0.5449,0.3708,86.439
2blk_rt,x0,5,100,0.05105,13.197,0.5125,0.3457,80.760
2blk_rt,x0,15,100,0.07078,11.735,0.5660,0.3230,83.262
2blk_rt,x0,25,100,0.08490,10.929,0.5931,0.3122,91.610
