model,codec,iterations,n,mse,psnr,lpips,ssim,fid
ip2p,vae,5,179,0.03759,15.669,0.3996,0.5510,121.775
ip2p,vae,15,179,0.11219,9.950,0.6849,0.2698,213.883
ip2p,vae,25,179,0.14680,8.669,0.7407,0.2263,227.028
ip2p,spnn,5,179,0.05090,14.824,0.4244,0.6258,135.913
ip2p,spnn,15,179,0.10966,10.364,0.6381,0.4198,188.900
ip2p,spnn,25,179,0.13364,9.185,0.6997,0.3547,195.804
magicbrush,vae,5,179,0.02880,17.600,0.3391,0.6263,111.768
magicbrush,vae,15,179,0.08808,11.082,0.7053,0.2174,251.858
magicbrush,vae,25,179,0.14339,8.623,0.7889,0.1474,268.613
magicbrush,spnn,5,179,0.04124,16.726,0.3625,0.6659,121.937
magicbrush,spnn,15,179,0.08222,12.236,0.6022,0.4542,198.888
magicbrush,spnn,25,179,0.11156,10.379,0.7102,0.3500,224.717
diffedit,vae,5,179,0.02798,15.777,0.3564,0.6292,161.018
diffedit,vae,15,179,0.07367,11.414,0.6920,0.2978,233.394
diffedit,vae,25,179,0.10538,9.872,0.7742,0.2062,246.482
diffedit,spnn,5,179,0.03082,15.359,0.3845,0.6599,171.144
diffedit,spnn,15,179,0.06769,11.850,0.5736,0.4793,215.446
diffedit,spnn,25,179,0.08992,10.616,0.6531,0.3946,231.668
pbe,vae,5,179,0.01880,18.636,0.2567,0.6649,84.759
pbe,vae,15,179,0.04450,13.843,0.5991,0.3431,212.883
pbe,vae,25,179,0.06957,11.786,0.7105,0.2449,251.744
pbe,spnn,5,179,0.02269,17.979,0.2919,0.7140,112.225
pbe,spnn,15,179,0.04126,14.620,0.5030,0.5518,180.275
pbe,spnn,25,179,0.05262,13.365,0.5981,0.4825,211.728
sd_inpaint,vae,5,179,0.01792,19.128,0.2599,0.6734,87.040
sd_inpaint,vae,15,179,0.04679,13.560,0.6206,0.3200,227.702
sd_inpaint,vae,25,179,0.08438,10.846,0.7356,0.1971,276.532
sd_inpaint,spnn,5,179,0.02376,17.927,0.2924,0.7064,120.481
sd_inpaint,spnn,15,179,0.03951,14.867,0.5070,0.5521,182.368
sd_inpaint,spnn,25,179,0.04959,13.655,0.5994,0.4840,222.862
