model,codec,iterations,n,mse,psnr,lpips,ssim,fid
ip2p,vae,5,179,0.02394,17.633,0.3409,0.5979,111.086
ip2p,vae,15,179,0.09938,10.379,0.6955,0.2354,258.856
ip2p,vae,25,179,0.14167,8.753,0.7598,0.1889,287.670
ip2p,spnn,5,179,0.02956,17.189,0.3233,0.6894,118.467
ip2p,spnn,15,179,0.08703,11.482,0.5771,0.4272,201.917
ip2p,spnn,25,179,0.11825,9.831,0.6658,0.3259,226.496
magicbrush,vae,5,179,0.02145,18.543,0.3226,0.6452,106.365
magicbrush,vae,15,179,0.08188,11.282,0.7088,0.2130,274.686
magicbrush,vae,25,179,0.13818,8.746,0.7946,0.1337,301.785
magicbrush,spnn,5,179,0.03271,17.907,0.3359,0.6972,121.625
magicbrush,spnn,15,179,0.06934,12.860,0.6109,0.4513,215.265
magicbrush,spnn,25,179,0.09860,10.779,0.7169,0.3311,256.216
diffedit,vae,5,179,0.02821,15.729,0.3554,0.6310,158.935
diffedit,vae,15,179,0.07324,11.447,0.6908,0.3028,233.634
diffedit,vae,25,179,0.10214,10.003,0.7751,0.2115,248.482
diffedit,spnn,5,179,0.02980,15.605,0.3721,0.6654,163.691
diffedit,spnn,15,179,0.06527,12.007,0.5702,0.4824,222.587
diffedit,spnn,25,179,0.08991,10.596,0.6589,0.3856,237.907
pbe,vae,5,179,0.01145,20.104,0.3053,0.6453,101.070
pbe,vae,15,179,0.06574,12.000,0.7204,0.2190,260.623
pbe,vae,25,179,0.11132,9.689,0.8052,0.1567,280.646
pbe,spnn,5,179,0.01332,20.234,0.2736,0.7471,116.941
pbe,spnn,15,179,0.04521,14.018,0.5793,0.4172,221.298
pbe,spnn,25,179,0.08134,11.375,0.6838,0.2877,258.451
sd_inpaint,vae,5,179,0.00985,20.876,0.2778,0.6854,91.794
sd_inpaint,vae,15,179,0.06033,12.372,0.6917,0.2338,254.336
sd_inpaint,vae,25,179,0.11241,9.579,0.7900,0.1479,291.094
sd_inpaint,spnn,5,179,0.01548,19.694,0.2748,0.7440,119.363
sd_inpaint,spnn,15,179,0.03623,15.275,0.5206,0.5040,195.494
sd_inpaint,spnn,25,179,0.05817,12.951,0.6282,0.3667,239.075
