variant,n,SSR wechat,SSR zxing,SSR opencv,SSR opencv_aruco,SSR any,module err %,CLIP,s / img
stage1|SD-VAE,12,0.167,0.0,0.0,0.0,0.167,2.537,0.274,1.094
stage1|SPNN,12,0.25,0.0,0.0,0.0,0.25,2.556,0.275,1.094
grad|SD-VAE,12,0.75,0.167,0.083,0.083,0.75,7.342,0.219,9.272
grad|SPNN,12,0.667,0.25,0.0,0.0,0.667,9.542,0.211,4.494
sandwich|SD-VAE,12,0.083,0.0,0.0,0.0,0.083,0.674,0.274,5.805
sandwich|SPNN,12,0.167,0.0,0.0,0.0,0.167,0.585,0.277,2.63
grad|SD-VAE+mpgd,12,1.0,0.167,0.0,0.083,1.0,0.03,0.212,3.152
grad|SPNN+mpgd,12,0.917,0.25,0.0,0.083,0.917,0.0,0.209,0.909
sandwich|SD-VAE+mpgd,12,0.0,0.0,0.0,0.0,0.0,0.178,0.216,2.299
sandwich|SPNN+mpgd,12,0.333,0.0,0.0,0.0,0.333,0.0,0.278,0.714
