example,arm,seed,A,C,seconds
fig3_bird_frog,sd15-latent,0,0.3020545244216919,0.948365330696106,1.9
fig3_bird_frog,sd15-latent,1,0.27423760294914246,0.7254146337509155,1.9
fig3_bird_frog,sd15-sandwich,0,0.2700115144252777,0.622298002243042,15.3
fig3_bird_frog,sd15-sandwich,1,0.27246734499931335,0.8091179132461548,15.4
fig3_bird_frog,spnn-sandwich,0,0.2437472641468048,0.2846252918243408,4.4
fig3_bird_frog,spnn-sandwich,1,0.2380564957857132,0.7616715431213379,4.5
flip_campfire_man,sd15-latent,0,0.311069518327713,0.910576343536377,1.9
flip_campfire_man,sd15-latent,1,0.3023321032524109,0.9129201173782349,1.9
flip_campfire_man,sd15-sandwich,0,0.27753305435180664,0.9608681201934814,15.5
flip_campfire_man,sd15-sandwich,1,0.25060999393463135,0.8003747463226318,15.4
flip_campfire_man,spnn-sandwich,0,0.26709067821502686,0.84651118516922,4.4
flip_campfire_man,spnn-sandwich,1,0.2505165934562683,0.8868114948272705,4.4
negate_landscape_houseplants,sd15-latent,0,0.24724474549293518,0.5512778759002686,1.9
negate_landscape_houseplants,sd15-latent,1,0.2759019434452057,0.4205036163330078,1.9
negate_landscape_houseplants,sd15-sandwich,0,0.21909134089946747,0.8839319944381714,15.5
negate_landscape_houseplants,sd15-sandwich,1,0.1958518773317337,0.4877450466156006,15.5
negate_landscape_houseplants,spnn-sandwich,0,0.22513045370578766,0.5836962461471558,4.4
negate_landscape_houseplants,spnn-sandwich,1,0.19154202938079834,0.4281548261642456,4.3
jigsaw_houseplants_marilyn,sd15-latent,0,0.27371716499328613,0.9965723752975464,3.1
jigsaw_houseplants_marilyn,sd15-latent,1,0.2757435441017151,0.9974204301834106,3.1
jigsaw_houseplants_marilyn,sd15-sandwich,0,0.2767445147037506,0.9963116645812988,16.7
jigsaw_houseplants_marilyn,sd15-sandwich,1,0.2610035538673401,0.9888220429420471,16.7
jigsaw_houseplants_marilyn,spnn-sandwich,0,0.20068398118019104,0.6646403670310974,5.6
jigsaw_houseplants_marilyn,spnn-sandwich,1,0.2042064070701599,0.9517209529876709,5.6
